Investigation.Type,Location,Abbreviation,Country,Aircraft.damage,Make,Model,Number.of.Engines,Engine.Type,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition
Accident,FILLMORE,UT,United States,Substantial,BEECH,K35,1.0,Reciprocating,Business,0.0,0.0,0.0,4.0,VMC
Accident,BRAWLEY,CA,United States,Substantial,BELL,OH-58C,1.0,Turbo Shaft,Aerial Application,0.0,0.0,1.0,0.0,VMC
Accident,SOMERSET,KY,United States,Destroyed,BEECH,C-90,2.0,Turbo Prop,Executive/corporate,4.0,0.0,0.0,0.0,IMC
Accident,PLAINVILLE,CT,United States,Substantial,CESSNA,T310R,2.0,Reciprocating,Business,0.0,0.0,0.0,2.0,IMC
Accident,RAYVILLE,LA,United States,Substantial,AIR TRACTOR,AT-401,1.0,Reciprocating,Aerial Application,0.0,0.0,0.0,1.0,VMC
Accident,FIVE POINTS,CA,United States,Substantial,HILLER,UH-12E,1.0,Reciprocating,Aerial Application,0.0,0.0,0.0,1.0,VMC
Accident,DALLAS,TX,United States,Substantial,MITSUBISHI,MU-300,2.0,Turbo Fan,Business,0.0,0.0,0.0,6.0,IMC
Accident,NAPA,CA,United States,Substantial,SIAI-MARCHETTI,SF260,1.0,Reciprocating,Business,0.0,0.0,0.0,2.0,VMC
Accident,BRAWLEY,CA,United States,Destroyed,AIR TRACTOR,AT-301,1.0,Reciprocating,Aerial Application,0.0,1.0,0.0,0.0,VMC
Accident,MONROE,GA,United States,Substantial,BEECH,F90,2.0,Turbo Prop,Business,0.0,0.0,0.0,1.0,VMC
Accident,CYNTHIANA,KY,United States,Destroyed,BEECH,58,2.0,Reciprocating,Business,4.0,0.0,0.0,0.0,IMC
Accident,RIVERBANK,CA,United States,Substantial,BELL,47G5,1.0,Reciprocating,Aerial Application,0.0,0.0,0.0,1.0,VMC
Accident,BYRON,CA,United States,Substantial,HILLER,H-12E,1.0,Reciprocating,Aerial Application,0.0,0.0,1.0,0.0,VMC
Accident,MOORHEAD,MN,United States,Destroyed,BEECH,95-B55,2.0,Reciprocating,Business,3.0,0.0,0.0,0.0,IMC
Accident,DALLAS,NC,United States,Substantial,HUGHES,369D,1.0,Turbo Shaft,Business,0.0,0.0,0.0,2.0,VMC
Accident,WASCO,CA,United States,Substantial,BELL,47G-4A,1.0,Reciprocating,Aerial Application,0.0,0.0,0.0,1.0,VMC
Accident,CALIPATRIA,CA,United States,Substantial,ARROW AIRCRAFT CO.,OH-58A,1.0,Turbo Shaft,Aerial Application,0.0,1.0,0.0,1.0,VMC
Accident,VACAVILLE,CA,United States,Substantial,BELL,47G,1.0,Reciprocating,Aerial Application,0.0,0.0,1.0,0.0,VMC
Accident,JACKSON,WY,United States,Substantial,LEARJET,60,2.0,Turbo Fan,Executive/corporate,0.0,0.0,0.0,2.0,VMC
Accident,PERRYTON,TX,United States,Substantial,CESSNA,A188B,1.0,Reciprocating,Aerial Application,0.0,0.0,0.0,1.0,VMC
Accident,GARWOOD,TX,United States,Substantial,GRUMMAN,G-164A,1.0,Reciprocating,Aerial Application,0.0,0.0,0.0,1.0,VMC
Accident,GILLETT,AR,United States,Substantial,GRUMMAN-SCHWEIZER,G-164A,1.0,Reciprocating,Aerial Application,0.0,0.0,0.0,1.0,VMC
Accident,ODELL,OR,United States,Destroyed,WEATHERLY,620B,1.0,Reciprocating,Aerial Application,1.0,0.0,0.0,0.0,VMC
Accident,HYANNIS,MA,United States,Substantial,DASSAULT,DA-900,3.0,Turbo Jet,Executive/corporate,0.0,0.0,2.0,4.0,IMC
Accident,FESTUS,MO,United States,Substantial,BEECH,58,1.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC
Accident,LAKE PLACID,FL,United States,Substantial,CESSNA,A188B,1.0,Reciprocating,Aerial Application,0.0,0.0,0.0,1.0,VMC
Accident,TUSCALOOSA,AL,United States,Substantial,MCKINNIS,STEEN SKYBOLT,1.0,Reciprocating,Business,0.0,0.0,0.0,2.0,VMC
Accident,SPRINGFIELD,GA,United States,Substantial,AEROSPATIALE,SA315B,1.0,Turbo Shaft,Aerial Application,0.0,0.0,0.0,1.0,VMC
Accident,BUCKLIN,KS,United States,Substantial,WSK PZL MIELEC,PZL-M-18,1.0,Reciprocating,Aerial Application,0.0,0.0,0.0,1.0,VMC
Accident,TAFT,CA,United States,Destroyed,BIRX,VANS RV-6,1.0,Reciprocating,Business,2.0,0.0,0.0,0.0,VMC
Accident,RENICK,WV,United States,Substantial,CESSNA,177RG,1.0,Reciprocating,Business,0.0,1.0,0.0,0.0,IMC
Accident,LEESBURG,GA,United States,Substantial,AYRES,S2R-G10,1.0,Turbo Prop,Aerial Application,0.0,0.0,1.0,0.0,VMC
Accident,EUREKA,SD,United States,Substantial,PIPER,J-3C,1.0,Reciprocating,Business,0.0,0.0,0.0,2.0,VMC
Accident,ODESSA,WA,United States,Substantial,AERO COMMANDER,S2R,1.0,Reciprocating,Aerial Application,0.0,0.0,0.0,1.0,VMC
Accident,BLOOMINGTON,IN,United States,Substantial,BEECH,A36,1.0,Reciprocating,Business,0.0,0.0,0.0,5.0,VMC
Accident,HELPER,UT,United States,Destroyed,HAWKINS & POWERS,UH-1B,1.0,Turbo Shaft,Business,0.0,0.0,1.0,0.0,VMC
Accident,PETTIGREW,AR,United States,Destroyed,VANS AIRCRAFT,RV-6T,1.0,Reciprocating,Business,2.0,0.0,0.0,0.0,IMC
Accident,OAK GROVE,LA,United States,Substantial,AYRES,S2R-G6,1.0,Turbo Prop,Aerial Application,0.0,0.0,0.0,1.0,VMC
Accident,SEATTLE,WA,United States,Substantial,BEECH,A200,2.0,Turbo Prop,Executive/corporate,0.0,0.0,0.0,6.0,VMC
Accident,DELTA JUNCTION,AK,United States,Substantial,CESSNA,U206F,1.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC
Accident,ACEQUIA,ID,United States,Substantial,AIR TRACTOR,AT-401,1.0,Reciprocating,Aerial Application,0.0,0.0,1.0,0.0,VMC
Accident,GROTTOES,VA,United States,Destroyed,CESSNA,172H,1.0,Reciprocating,Business,1.0,0.0,0.0,0.0,IMC
Accident,LAKELAND,FL,United States,Substantial,NEW STANDARD,D-25,1.0,Reciprocating,Business,0.0,0.0,0.0,6.0,VMC
Accident,LAKEWOOD,CO,United States,Substantial,BELL,206L-3,1.0,Turbo Shaft,Business,0.0,0.0,0.0,2.0,VMC
Accident,ROCK HILL,SC,United States,Substantial,PIPER,PA-31-350,2.0,Reciprocating,Business,0.0,0.0,0.0,2.0,VMC
Accident,COLQUITT,GA,United States,Substantial,AIR TRACTOR,AT-301,1.0,Turbo Prop,Aerial Application,0.0,0.0,0.0,1.0,VMC
